Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:"," the group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.

คำแปล: กลุ่มนักเรียนชอบเดินเที่ยวเย็นกับครูของพวกเขาเพราะอากาศเย็นสบาย พวกเขาได้รับการออกกำลังกาย และต้นไม้รอบ ๆ ทางเดินทำให้อากาศรู้สึกสดชื่นมาก"," the group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.

khamaepl: klumnakeriynchobedinethiyweynkabkhrukhongphwkekhaephraaoakaseynsbay phwkekhaaidrabkarookkamlangkay aelatnaimrob - thangedinthamaihoakasrusueksdchuenmak",กลุ่มนักเฮียนชอบไปเตียวเล่นกับอาจารย์ในช่วงเมื่อแลง เพราะอากาศมันเย็นสบายได้ออกกำลังกายและป่าไม้รอบๆตางเตียวก่ยะฮื้ออากาศดีมากๆโตย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:","ข้อความ: ขับรถจักรยานยนต์ไปซื้อกาแฟที่ทางเข้าซอย แต่พบว่าร้านที่ชอบปิดอยู่ ดังนั้นไปลองที่ใหม่แทน ไม่ดีเลย ไม่ไปซื้อที่นั่นอีก

โปรดทราบว่าภาษาเหนือหรือภาษาล้านนาเป็นภาษาที่ไม่ได้รับการรับรองในฐานข้อมูลของระบบแปลภาษา Google และไม่มีระบบแปลภาษาที่ถูกต้องและแม่นยำสำหรับภาษานี้ ดังนั้นคำแปลที่ได้อาจไม่ถูกต้องหรือไม่สมบูรณ์","khokhwam: khabrthchakryanyntaipsueokaaefthithangekhasoy aetphbwaranthichobpidoyu dangnanaiplongthiaihmaethn aimdiely aimaipsueothinanoik

oprdthrabwaphasaehnueohrueophasalannaepnphasathiaimaidrabkarrabrongainthankhomulkhongrabbaeplphasa Google aelaaimmirabbaeplphasathithuktongaelaaemnyamsamhrabphasani dangnankhamaeplthiaidoachaimthuktonghrueoaimsmburn",ขับรถเครื่องไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าฮ้านประจำตี้ชอบกิ๋นมันปิดไปแล้ว ก่อเลยขับรถไปซื้อฮ้านใหม่ บ่อลำเลย จะบ่ไปซื้อแหมแล้ว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:"," the end, I didn’t make it, and I was very disappointed."," the end, I didn't make it, and I was very disappointed.",ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",เพื่อนฉันทุกคนรักการเดินทางไปต่างประเทศ แต่ฉันรู้สึกว่ามันเป็นการเสียเงินเปล่า ฉันจึงชอบไปที่ชายหาดในประเทศไทยมากกว่า อากาศดี ราคาถูก มันดีกว่ามาก ฉันไม่เข้าใจจริงๆ ว่าทำไมคนถึงไปต่างประเทศ,ephueonchanthukkhnrakkaredinthangaiptangpraeths aetchanrusuekwamanepnkaresiyenginepla chanchuengchobaipthichayhadainpraethsaithymakkwa oakasdi rakhathuk mandikwamak chanaimekhaaichchring- wathamaimkhnthuengaiptangpraeths,จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",เขาหื้อช่วยกันทำความสะอาดบ้าน เพราะมีเลนเต็มหลังจากเหตุการณ์น้ำท่วมเมื่อสัปดาห์ที่แล้ว มันจะใช้เวลานานในการทำความสะอาด,ekhahueochwykanthamkhwamsaoadban ephraamielnetmhlangchakehtukarnnamthwmemueosapdahthiaelw manchaaichewlananainkarthamkhwamsaoad,สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:"," the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.

คำแปล: พ่อแม่ฮักทำงานในสวนเพราะบรรยากาศดีและสงบ, บวกกับมีวิวภูเขาที่สวยที่รู้สึกเหมือนก้าวเข้าสู่โลกอื่น."," the atmosphere is nice and peaceful, plus there's a beautiful mountain view that feels like stepping into another world.

khamaepl: phoaemhakthamnganainswnephraabrryakasdiaelasngb, bwkkabmiwiwphuekhathiswythirusuekehmueonkawekhasuolkouen.",ป้อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:","คำแปล: น้ำพริกหนุ่มเป็นอาหารชื่อดังจากภูมิภาคเหนือ มีส่วนผสมหลักคือพริก, หอมใหญ่, และกระเทียม","khamaepl: namphrikhnumepnoaharchueodangchakphumiphakhehnueo miswnphsmhlakkhueophrik, homaihy, aelakraethiym",เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม 
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:", the person who interest in join us for eat salad papaya and grilled chicken at Khun Korn’s Kitchen for lunch?, the person who interest in join us for eat salad papaya and grilled chicken at Khun Korn's Kitchen for lunch?,หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี๋ร้านครัวคุณกรก่อ?
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:"," the weather was so hot that when I got back home, I had to take a rest because I had a headache."," the weather was so hot that when I got back home, I had to take a rest because I had a headache.",วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว
"แปลข้อความต่อไปนี้จาก ภาษาอังกฤษ เป๋น ภาษาเหนือ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",ทำไมข้าต้องทำงานนี้อีก? ข้าแก้ไขมันหลายครั้งแล้ว แต่มันยังไม่เสร็จ คนที่ขอแก้ไขอยู่เรื่อยๆ ก็ไม่รู้ว่าเขาทำอะไร ข้าเหนื่อยมาก,thamaimkhatongthamngannioik? khaaekaikhmanhlaykhrangaelw aetmanyangaimesrch khnthikhoaekaikhoyuerueoy- kaimruwaekhathamoaair khaehnueoymak,เยี๊ยะหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด
